Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2052,2052,1000 persons,943.915000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2053,2053,1000 persons,938.280000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2054,2054,1000 persons,932.545000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2055,2055,1000 persons,926.710000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2056,2056,1000 persons,920.753000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2057,2057,1000 persons,914.659000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2058,2058,1000 persons,908.436000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2059,2059,1000 persons,902.097000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2060,2060,1000 persons,895.648000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2061,2061,1000 persons,889.073000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2062,2062,1000 persons,882.399000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2063,2063,1000 persons,875.624000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2064,2064,1000 persons,868.737000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2065,2065,1000 persons,861.741000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2066,2066,1000 persons,854.657000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2067,2067,1000 persons,847.482000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2068,2068,1000 persons,840.212000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2069,2069,1000 persons,832.863000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2070,2070,1000 persons,825.452000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2071,2071,1000 persons,817.982000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2072,2072,1000 persons,810.443000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2073,2073,1000 persons,802.848000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2074,2074,1000 persons,795.235000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2075,2075,1000 persons,787.611000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2076,2076,1000 persons,779.972000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2077,2077,1000 persons,772.341000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2078,2078,1000 persons,764.740000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2079,2079,1000 persons,757.174000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2080,2080,1000 persons,749.625000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2081,2081,1000 persons,742.117000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2082,2082,1000 persons,734.670000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2083,2083,1000 persons,727.288000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2084,2084,1000 persons,719.981000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2085,2085,1000 persons,712.754000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2086,2086,1000 persons,705.602000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2087,2087,1000 persons,698.533000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2088,2088,1000 persons,691.559000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2089,2089,1000 persons,684.670000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2090,2090,1000 persons,677.860000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2091,2091,1000 persons,671.139000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2092,2092,1000 persons,664.516000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,512,Total Population - Male,2093,2093,1000 persons,657.990000,X,
